Gene	Gene name	Cancer	High	Medium	Low	Not detected	prognostic - favorable	unprognostic - favorable	prognostic - unfavorable	unprognostic - unfavorable
ENSG00000007968	E2F2	liver cancer	0.0	0.0	3.0	7.0				6.432e-06
ENSG00000008018	PSMB1	liver cancer	8.0	4.0	0.0	0.0				0.02363
ENSG00000008056	SYN1	liver cancer	0.0	0.0	0.0	10.0				0.1628
ENSG00000008083	JARID2	liver cancer	0.0	9.0	2.0	0.0				0.004873
ENSG00000008086	CDKL5	liver cancer	0.0	4.0	2.0	4.0				0.01723
ENSG00000008128	CDK11A	liver cancer	3.0	3.0	6.0	0.0				0.002248
ENSG00000008130	NADK	liver cancer	1.0	2.0	4.0	5.0		0.3316		
ENSG00000008226	DLEC1	liver cancer	0.0	0.0	0.0	11.0		0.002504		
ENSG00000008256	CYTH3	liver cancer	0.0	0.0	3.0	9.0				0.02324
ENSG00000008282	SYPL1	liver cancer	1.0	7.0	0.0	0.0				0.08737
ENSG00000008283	CYB561	liver cancer	0.0	0.0	1.0	10.0				0.01368
ENSG00000008294	SPAG9	liver cancer	0.0	4.0	0.0	8.0				0.08128
ENSG00000008300	CELSR3	liver cancer	0.0	8.0	1.0	2.0				3.61e-06
ENSG00000008311	AASS	liver cancer	0.0	5.0	2.0	5.0	0.0009812			
ENSG00000008323	PLEKHG6	liver cancer	0.0	0.0	2.0	9.0		0.1304		
ENSG00000008324	SS18L2	liver cancer	2.0	2.0	4.0	3.0				0.01645
ENSG00000008382	MPND	liver cancer	3.0	3.0	4.0	1.0		0.03162		
ENSG00000008394	MGST1	liver cancer	2.0	10.0	0.0	0.0				0.08194
ENSG00000008405	CRY1	liver cancer	0.0	9.0	1.0	1.0				0.03475
ENSG00000008438	PGLYRP1	liver cancer	0.0	0.0	0.0	11.0		0.2198		
ENSG00000008441	NFIX	liver cancer	0.0	1.0	7.0	4.0	0.000466			
ENSG00000008513	ST3GAL1	liver cancer	9.0	3.0	0.0	0.0		0.04794		
ENSG00000008516	MMP25	liver cancer	0.0	7.0	4.0	0.0		0.136		
ENSG00000008517	IL32	liver cancer	7.0	4.0	0.0	0.0		0.08022		
ENSG00000008710	PKD1	liver cancer	0.0	5.0	3.0	4.0				0.0198
ENSG00000008735	MAPK8IP2	liver cancer	0.0	6.0	3.0	2.0				0.1176
ENSG00000008853	RHOBTB2	liver cancer	0.0	3.0	2.0	6.0				0.08134
ENSG00000008869	HEATR5B	liver cancer	1.0	8.0	2.0	1.0				0.05947
ENSG00000008952	SEC62	liver cancer	0.0	7.0	3.0	1.0				0.1244
ENSG00000008988	RPS20	liver cancer	0.0	5.0	5.0	2.0				0.09396
ENSG00000009307	CSDE1	liver cancer	2.0	7.0	1.0	0.0				0.005317
ENSG00000009335	UBE3C	liver cancer	5.0	7.0	0.0	0.0				0.1359
ENSG00000009413	REV3L	liver cancer	0.0	0.0	7.0	3.0				0.04422
ENSG00000009694	TENM1	liver cancer	9.0	3.0	0.0	0.0				0.07075
ENSG00000009724	MASP2	liver cancer	5.0	4.0	3.0	0.0	0.0001602			
ENSG00000009765	IYD	liver cancer	0.0	0.0	0.0	12.0	0.0006216			
ENSG00000009780	FAM76A	liver cancer	0.0	0.0	1.0	11.0				0.004435
ENSG00000009790	TRAF3IP3	liver cancer	0.0	0.0	0.0	12.0		0.003833		
ENSG00000009830	POMT2	liver cancer	0.0	2.0	2.0	6.0			0.0002397	
ENSG00000009844	VTA1	liver cancer	0.0	8.0	1.0	3.0			6.579e-06	
ENSG00000009954	BAZ1B	liver cancer	1.0	5.0	1.0	5.0				0.001105
ENSG00000010017	RANBP9	liver cancer	4.0	6.0	2.0	0.0				0.1299
ENSG00000010030	ETV7	liver cancer	0.0	0.0	0.0	11.0		0.09076		
ENSG00000010072	SPRTN	liver cancer	0.0	0.0	0.0	12.0				0.005686
ENSG00000010165	METTL13	liver cancer	0.0	6.0	5.0	1.0			0.0005681	
ENSG00000010219	DYRK4	liver cancer	1.0	11.0	0.0	0.0				0.02028
ENSG00000010244	ZNF207	liver cancer	10.0	1.0	0.0	1.0			7.302e-08	
ENSG00000010256	UQCRC1	liver cancer	10.0	1.0	0.0	0.0				0.08531
ENSG00000010270	STARD3NL	liver cancer	0.0	8.0	2.0	2.0			1.436e-05	
ENSG00000010278	CD9	liver cancer	0.0	5.0	0.0	4.0				0.1322
ENSG00000010282	HHATL	liver cancer	0.0	0.0	0.0	12.0				0.03789
ENSG00000010292	NCAPD2	liver cancer	1.0	0.0	3.0	8.0			1.787e-08	
ENSG00000010295	IFFO1	liver cancer	0.0	0.0	0.0	12.0				0.004366
ENSG00000010310	GIPR	liver cancer	0.0	5.0	2.0	5.0				0.01823
ENSG00000010318	PHF7	liver cancer	0.0	0.0	2.0	10.0				0.07444
ENSG00000010319	SEMA3G	liver cancer	6.0	0.0	3.0	2.0		0.005198		
ENSG00000010322	NISCH	liver cancer	1.0	5.0	1.0	5.0				0.01603
ENSG00000010327	STAB1	liver cancer	0.0	4.0	4.0	2.0				0.01078
ENSG00000010361	FUZ	liver cancer	0.0	9.0	2.0	1.0				0.00436
ENSG00000010404	IDS	liver cancer	6.0	4.0	2.0	0.0				0.2126
ENSG00000010438	PRSS3	liver cancer	0.0	0.0	0.0	12.0				0.03292
ENSG00000010539	ZNF200	liver cancer	0.0	0.0	0.0	12.0				0.1313
ENSG00000010610	CD4	liver cancer	0.0	0.0	0.0	11.0		0.037		
ENSG00000010626	LRRC23	liver cancer	0.0	0.0	1.0	9.0				0.007937
ENSG00000010671	BTK	liver cancer	0.0	0.0	0.0	12.0				0.06552
ENSG00000010704	HFE	liver cancer	0.0	4.0	5.0	1.0				0.4227
ENSG00000010810	FYN	liver cancer	0.0	0.0	0.0	11.0	0.000184			
ENSG00000010932	FMO1	liver cancer	0.0	0.0	0.0	12.0				0.1042
ENSG00000011007	ELOA	liver cancer	0.0	0.0	5.0	4.0			1.439e-05	
ENSG00000011021	CLCN6	liver cancer	3.0	1.0	0.0	8.0				0.001507
ENSG00000011028	MRC2	liver cancer	0.0	0.0	2.0	8.0				0.06209
ENSG00000011052	NME1-NME2	liver cancer	0.0	7.0	4.0	1.0				0.004821
ENSG00000011083	SLC6A7	liver cancer	0.0	5.0	5.0	1.0		0.0642		
ENSG00000011105	TSPAN9	liver cancer	0.0	5.0	3.0	2.0		0.03115		
